Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Matteo;Schwaiger;13.4.1937;Zum Guten Hirten 91;32361;Preußisch Oldendorf;05742 / 94385291;matteo.schwaiger@mail.xyz;
2;Stina;Reese;15.3.1946;Ostlandstr. 19;83561;Ramerberg;08039 / 71139131;stina.reese@mail.xyz;
3;Sylvia;Singh;2.3.1999;Willingrott 120;39264;Walternienburg;03923 / 21722196;sylvia.singh@mail.xyz;
4;Nick;Ziemer;1.2.2000;Rüschhausweg 115;87499;Wildpoldsried;08304 / 91714714;nick.ziemer@mail.xyz;
5;Diana;Hügel;28.12.1931;Rennbahnstr. 134;31867;Hülsede;05043 / 8387283;diana.huegel@mail.xyz;
6;Anastasia;Leng;10.10.1971;Hahnenstr. 107;74921;Helmstadt-Bargen;07263 / 35478932;anastasia.leng@mail.xyz;
7;Annabell;Scheffler;24.7.1997;Frauenstr. 75;55767;Siesbach;06782 / 46700830;a.scheffler@mail.xyz;
8;Bernt;Seeber;1.6.1945;Rinscheweg 192;54689;Dasburg;06550 / 91586026;b.seeber@mail.xyz;
9;Lilly;Buse;7.11.1981;Dahlienweg 126;86868;Mittelneufnach;08262 / 65802972;l.buse@mail.xyz;
10;Nic;Hahn;6.1.1958;Im Stemmen 77;64757;Rothenberg;06275 / 3117846;n.hahn@mail.xyz;
11;Rosa;Wittig;18.4.1996;Gasselstiege 43;83352;Altenmarkt an der Alz;08621 / 2401919;rosa.wittig@mail.xyz;
12;Carin;Gebhard;17.8.1920;Gropiusstr. 190;92521;Schwarzenfeld;09435 / 2540990;carin.gebhard@mail.xyz;
13;Hannes;Hardt;13.7.1942;Hindenburgplatz 19;76879;Essingen;06348 / 61693965;hannes.hardt@mail.xyz;
14;Kim;Neuendorf;23.3.1920;Schubertstr. 78a;03226;Missen;03541 / 83448017;k.neuendorf@mail.xyz;
15;Bernd;Ostermann;21.6.1967;Kempener Str. 163;54668;Echternacherbrück;06525 / 92979269;bernd.ostermann@mail.xyz;
16;Mara;Sonntag;15.7.1968;Eifelstr. 89;24794;Bünsdorf;04356 / 56905175;m.sonntag@mail.xyz;
17;Margarethe;Brockmann;6.10.1976;Telgenweg 99;93326;Abensberg;09443 / 30769980;m.brockmann@mail.xyz;
18;Sonja;Cortez;21.11.1964;Ripenhorst 107;65321;Heidenrod;06120 / 22762451;sonja.cortez@mail.xyz;
19;Kerstin;Siemon;1.9.1990;Marsweg 82;74426;Bühlerzell;07974 / 4038318;k.siemon@mail.xyz;
20;Klara;Lawson;4.9.1939;Ringelnatzstr. 169;16248;Niederfinow;03334 / 21991833;klara.lawson@mail.xyz;
21;Madeleine;Faulhaber;13.5.1983;Am Oedingteich 97;18182;Rostock;0381 / 88742435;m.faulhaber@mail.xyz;
22;Sonja;Roth;19.9.1982;Meesenstiege 77;23815;Strukdorf;04551 / 9509281;sonja.roth@mail.xyz;
23;Miriam;Gebhart;7.6.1995;Hacklenburg 90;56459;Berzhahn;02663 / 95307015;m.gebhart@mail.xyz;
24;Céline;Zimmer;8.7.1998;Meesenstiege 83;64407;Fränkisch-Crumbach;06164 / 33350478;c.zimmer@mail.xyz;
25;Florian;Axmann;19.4.1929;Uhuweg 34;95680;Bad Alexandersbad;09232 / 89447322;f.axmann@mail.xyz;
26;Waltraut;Kempf;22.12.1928;Kappenberger Damm 107;99947;Hörselberg-Hainich;03622 / 24116888;waltraut.kempf@mail.xyz;
27;Lucas;Ryan;24.1.1990;Nienkamp 126;93351;Painten;09499 / 72343740;lucas.ryan@mail.xyz;
28;Hartmut;Mühl;12.11.1925;Ripenhorst 62;58256;Ennepetal;02333 / 77758253;hartmut.muehl@mail.xyz;
29;Carlo;Haase;11.10.1936;Innsbruckweg 29;55262;Heidesheim am Rhein;06132 / 51730550;c.haase@mail.xyz;
30;Marie;Krämer;22.1.1974;Langeworth 140;37627;Wangelnstedt;05532 / 19438969;marie.kraemer@mail.xyz;
31;Daniela;Karg;20.1.1988;Wiedehagen 160;23569;Lübeck;0451 / 33197438;d.karg@mail.xyz;
32;Edith;Kania;2.1.1932;Avendruper Str. 185;49163;Bohmte;05471 / 74579251;edith.kania@mail.xyz;
33;Curt;Glück;20.3.1939;Papenbusch 89;56651;Oberdürenbach;02636 / 23162451;c.glueck@mail.xyz;
34;Lara;Wetzel;12.11.1996;Telgenweg 47;91807;Solnhofen;09145 / 93716575;lara.wetzel@mail.xyz;
35;Carla;Freitag;27.6.1944;Hahnenstr. 146;74934;Reichartshausen;06262 / 24580000;c.freitag@mail.xyz;
36;Kai;McCormick;8.3.1927;Gescherweg 5;96179;Rattelsdorf;09547 / 23098234;kai.mccormick@mail.xyz;
37;Swenja;Schaffrath;4.11.1967;Hoove 122;25767;Arkebek;04835 / 9762446;s.schaffrath@mail.xyz;
38;Lia;Waten;28.3.1985;Am Burloh 19a;75365;Calw;07051 / 1660354;lia.waten@mail.xyz;
39;Gabriel;Held;3.12.1950;Kempener Str. 129;33129;Boke;05250 / 40854941;g.held@mail.xyz;
40;Reinhard;Grant;7.8.1938;Josef-Suwelack-Weg 64;55469;Holzbach;06761 / 78392912;reinhard.grant@mail.xyz;
41;Mandy;Preiss;27.7.1992;Guntherstr. 58;91126;Kammerstein;09122 / 34359862;mandy.preiss@mail.xyz;
42;Mario;Ebel;4.8.1932;Am Grauen Stein 54;41363;Jüchen;02165 / 75726513;mario.ebel@mail.xyz;
43;Erich;Bremer;14.6.1978;Düesbergweg 108;27324;Schweringen;04251 / 94697058;erich.bremer@mail.xyz;
44;Enrico;Bretz;21.5.1964;Ripenhorst 89;54470;Graach an der Mosel;06531 / 55769340;enrico.bretz@mail.xyz;
45;Irmgart;Page;4.10.1974;Eifelstr. 33;67473;Lindenberg;06325 / 64187699;irmgart.page@mail.xyz;
46;Jaqueline;Carsten;20.6.1928;Josef-Suwelack-Weg 111;67311;Tiefenthal;06351 / 81874707;jaqueline.carsten@mail.xyz;
47;Matthies;Hardt;25.11.1923;Christinastr. 167;06108;Halle;0345 / 18163984;matthies.hardt@mail.xyz;
48;Moritz;Wald;6.1.1957;Hermann-Treff-Weg 162;48527;Nordhorn;05921 / 36687737;moritz.wald@mail.xyz;
49;Liv;Kalinowski;8.1.1980;Breul 176;99819;Hörselberg-Hainich;03622 / 50206162;l.kalinowski@mail.xyz;
50;Magdalena;Gruber;28.6.1938;Am Berler Kamp 83;79274;Sankt Märgen;07669 / 11344315;m.gruber@mail.xyz;
51;Erwin;Gebert;11.10.1995;Telemannstr. 55a;87474;Buchenberg;08378 / 17773200;e.gebert@mail.xyz;
52;Benedikt;Glaser;13.11.1967;Hacklenburg 96;73116;Wäschenbeuren;07172 / 57466705;benedikt.glaser@mail.xyz;
53;Joachim;Johnston;9.5.1965;Jägerstr. A 198;95233;Helmbrechts;09252 / 66554697;j.johnston@mail.xyz;
54;Phil;Osborne;12.7.1948;Sentmaringer Weg 82;67454;Haßloch;06324 / 79882973;p.osborne@mail.xyz;
55;Lea;Todd;13.5.1945;Rüschhausweg 92;45136;Essen;0201 / 53260186;lea.todd@mail.xyz;
56;Manfred;Dengler;5.9.1921;Piusallee 60;09126;Chemnitz;0371 / 38243871;m.dengler@mail.xyz;
57;Jona;Fowler;2.5.1966;Wormser Str. 77;57539;Fürthen;02682 / 56639238;jona.fowler@mail.xyz;
58;Till;Herget;21.7.1920;Wörthstr. 165;74594;Kreßberg;07957 / 16925477;t.herget@mail.xyz;
59;Keno;Lackner;14.12.1964;Kurze Str. 34;83666;Waakirchen;08021 / 11191059;keno.lackner@mail.xyz;
60;Victoria;Schütt;19.10.1954;Overbergstr. 57;27449;Kutenholz;04762 / 42625514;victoria.schuett@mail.xyz;
61;Sabine;Meilen;3.7.1992;Am Burloh 63;25563;Föhrden-Barl;04192 / 20504054;s.meilen@mail.xyz;
62;Isabel;Jennings;19.7.1973;Salzmannstr. 147;76889;Birkenhördt;06343 / 35630501;isabel.jennings@mail.xyz;
