Nr.;Vorname;Nachname;Geburtsdatum;Strasse;PLZ;Stadt;Telefon;E-Mail;
1;Nelly;Simon;27.1.1941;Kösliner Str. 153;17389;Anklam;03971 / 98100820;nelly.simon@mail.xyz;
2;Erwin;Senioren;6.9.1976;Weseler Str. 19a;26487;Neuschoo;04975 / 27160622;e.senioren@mail.xyz;
3;Niclas;Erickson;6.7.1975;Am Wigbold 116;84034;Landshut;0871 / 35594027;n.erickson@mail.xyz;
4;Pia;Reinhold;14.9.1946;Görlitzer Str. 68;24217;Schönberg;04344 / 31891786;pia.reinhold@mail.xyz;
5;Mia;Warneke;3.6.1938;Sternstr. 87;79677;Böllen;07673 / 90018741;mia.warneke@mail.xyz;
6;Moritz;Obermann;15.6.1964;Ostmarkstr. 12;89231;Neu-Ulm;0731 / 52574365;m.obermann@mail.xyz;
7;Oliver;Büchner;15.2.1969;Marsweg 149;93413;Cham;09971 / 61658636;o.buechner@mail.xyz;
8;Luisa;McGee;25.11.1990;Schubertstr. 125;79254;Oberried;07602 / 80175862;l.mcgee@mail.xyz;
9;Miriam;Weiler;16.10.1925;Carossastr. 188;27299;Langwedel;04232 / 96868020;m.weiler@mail.xyz;
10;Anke;Heilmann;21.5.1925;Starweg 110;54675;Körperich;06566 / 65927983;anke.heilmann@mail.xyz;
11;Tobias;Scheck;22.1.1927;Havichhorster Mühle 140;95691;Hohenberg an der Eger;09233 / 55209209;tobias.scheck@mail.xyz;
12;Lara;Mason;24.11.1920;Starweg 190;66706;Perl;06867 / 37755690;lara.mason@mail.xyz;
13;Jörn;Evers;7.2.1952;Idenbrockplatz 107;54647;Pickließem;06563 / 48838793;joern.evers@mail.xyz;
14;Ute;Lührs;19.10.1931;Äußere Kanalstr. 139;34399;Oberweser;05574 / 28434826;ute.luehrs@mail.xyz;
15;Philine;Simon;27.7.1981;Kleiner Griechenmarkt 198;41189;Mönchengladbach;02161 / 23839689;philine.simon@mail.xyz;
16;Leah;Heinz;19.2.1932;Zur Wiese 136;79211;Denzlingen;07666 / 20733643;l.heinz@mail.xyz;
17;Ursula;Bach;28.10.1925;Oscar-Wilde-Str. 103;26434;Wangerland;04463 / 15615227;ursula.bach@mail.xyz;
18;Vincent;Hicks;1.4.1981;Franz-Peter-Kürten-Weg 115;22959;Linau;04154 / 31069399;vincent.hicks@mail.xyz;
19;Caroline;Matthews;28.7.1934;Enschedeweg 125;50674;Köln;0221 / 86070073;c.matthews@mail.xyz;
20;Luke;Blake;16.2.1922;Rektoratsweg 50;47661;Issum;02835 / 17936294;luke.blake@mail.xyz;
21;Miguel;Friedrich;9.5.1926;Maximilianstr. 111;29565;Wriedel;05829 / 58748040;m.friedrich@mail.xyz;
22;Mats;Martina;6.7.1925;Starweg 6;25709;Marnerdeich;04851 / 50233739;mats.martina@mail.xyz;
23;Sarah;Hill;18.4.1964;Widdeshover Weg 94;50767;Köln;0221 / 57329292;sarah.hill@mail.xyz;
24;Meike;Mendez;20.9.1984;Straßburger Weg 87;29416;Klein Gartz;03901 / 77586129;m.mendez@mail.xyz;
25;Alissa;Berg;19.4.1955;Kirchstr. 60;54619;Lichtenborn;06550 / 62579901;alissa.berg@mail.xyz;
26;Annalena;Sorg;21.4.1997;Dreilinden 106;63679;Schotten;06044 / 17094122;annalena.sorg@mail.xyz;
27;Ole;Hausmann;19.11.1923;Am Burloh 62;25852;Bordelum;04672 / 23943960;o.hausmann@mail.xyz;
28;Tobias;Brewer;19.10.1985;Zülpicher Str. 165;86637;Binswangen;08272 / 80794001;tobias.brewer@mail.xyz;
29;Lynn;Lederer;7.5.1995;Klinkkampweg 101;55597;Wöllstein;06703 / 93425037;l.lederer@mail.xyz;
30;Anouk;Kaminski;3.10.1973;Salzmannstr. 108;47137;Duisburg;0203 / 50176538;anouk.kaminski@mail.xyz;
